Index     FlowId          Size              Sent              Recv              FCT               PfcDur            
338        222             1447.32           1447.32           1447.32           1306.03           0                 
339        62              1467.3            1467.3            1467.3            1847.77           0                 
340        16              1478.03           1478.03           1478.03           1832.43           0                 
341        119             1489.42           1489.42           1489.42           1238.57           0                 
342        418             1507.72           1507.72           1507.72           576.461           0                 
343        252             1514.39           1514.39           1514.39           1850.16           0                 
344        370             1550.33           1550.33           1550.33           1243.38           0                 
345        70              1559.45           1559.45           1559.45           3095.51           0                 
346        296             1568.46           1568.46           1568.46           2632.71           0                 
347        129             1626.79           1626.79           1626.79           1264.2            0                 
348        117             1649.25           1649.25           1649.25           2263.92           0                 
349        359             1656.45           1656.45           1656.45           1101.49           0                 
350        47              1667.01           1667.01           1667.01           1370.37           0                 
351        341             1680.13           1680.13           1680.13           1373.82           0                 
352        264             1707.74           1707.74           1707.74           2023.34           0                 
353        272             1781.52           1781.52           1781.52           1697.9            0                 
354        67              1802.51           1802.51           1802.51           5163.21           0                 
355        26              1832.82           1832.82           1832.82           1013.81           0                 
356        102             1844.89           1844.89           1844.89           1743.51           0                 
357        99              1871.97           1871.97           1871.97           792.559           0                 
358        323             1873.47           1873.47           1873.47           1867.18           0                 
359        60              1876.42           1876.42           1876.42           1726.3            0                 
360        184             1877.29           1877.29           1877.29           2106.42           0                 
361        417             1881.47           1881.47           1881.47           1988.92           0                 
362        464             1943.31           1943.31           1943.31           2421.83           0                 
363        271             1973.37           1973.37           1973.37           3053.12           0                 
364        169             1984.74           1984.74           1984.74           2539.19           0                 
365        326             1999.17           1999.17           1999.17           2805.47           0                 
366        191             2021.23           2021.23           2021.23           1368.71           0                 
367        221             2135.29           2135.29           2135.29           1598.49           0                 
368        75              2173.67           2173.67           2173.67           2386              0                 
369        120             2184.46           2184.46           2184.46           1861.82           0                 
370        69              2238.78           2238.78           2238.78           905.912           0                 
371        37              2430.54           2430.54           2430.54           1748.38           0                 
372        157             2455.9            2455.9            2455.9            1341.95           0                 
373        458             2499.66           2499.66           2499.66           1022.9            0                 
374        228             2569.89           2569.89           2569.89           2490              0                 
375        100             2573.05           2573.05           2573.05           4723.23           0                 
376        87              2627.77           2627.77           2627.77           3048.62           0                 
377        130             2655.26           2655.26           2655.26           3840.83           0                 
378        350             2664.18           2664.18           2664.18           1375.29           0                 
379        292             2767.89           2767.89           2767.89           2203.14           0                 
380        375             2802.45           2802.45           2802.45           849.417           0                 
381        23              2821.73           2821.73           2821.73           1832.33           0                 
382        286             2892.61           2892.61           2892.61           2578.69           0                 
383        259             2939.69           2939.69           2939.69           2574.07           0                 
384        201             2962.85           2962.85           2962.85           3150.49           0                 
385        332             3026.35           3026.35           3026.35           2136.16           0                 
386        447             3044.6            3044.6            3044.6            4861.26           0                 
387        138             3051.5            3051.5            3051.5            2213.87           0                 
388        428             3056.15           3056.15           3056.15           2214.44           0                 
389        135             3350.15           3350.15           3350.15           1287.14           0                 
390        52              3353.69           3353.69           3353.69           2436.86           0                 
391        239             3613.28           3613.28           3613.28           2733.55           0                 
392        429             3636.44           3636.44           3636.44           1514.67           0                 
393        240             3714.78           3714.78           3714.78           2143.06           0                 
394        297             3766.84           3766.84           3766.84           2765.62           0                 
395        405             3794.05           3794.05           3794.05           3941.69           0                 
396        330             3825.01           3825.01           3825.01           1760.94           0                 
397        449             4043.59           4043.59           4043.59           3971.31           0                 
398        197             4054.22           4054.22           4054.22           1517.81           0                 
399        13              4116.19           4116.19           4116.19           1081.5            0                 
400        431             4222.19           4222.19           4222.19           3138.78           0                 
401        373             4352.51           4352.51           4352.51           2111.35           0                 
402        73              4400.26           4400.26           4400.26           5627.7            0                 
